iris_1,iris_2,iris_3,iris_4,len_1,len_2,len_3,error,Goal_Met
7.914378683,5.325463608,4.740774316,4.647271342,9.028101961,10.30965354,10.51973544,15.25796778,No
7.914378683,5.325463608,4.740774316,4.647271342,9.028101961,10.30965354,10.51973544,15.31175417,No
7.914378683,5.325463608,4.740774316,4.647271342,9.028101961,10.30965354,10.51973544,15.25734553,No
7.910241987,5.325719578,4.744062853,4.650714624,9.027534294,10.30745293,10.51684456,14.71017353,Yes
7.910241987,5.325719578,4.744062853,4.650714624,9.027534294,10.30745293,10.51684456,15.8847317,No
7.886468715,5.325241344,4.754853065,4.665128506,9.024480003,10.29244638,10.49804607,13.8005766,Yes
7.886468715,5.325241344,4.754853065,4.665128506,9.024480003,10.29244638,10.49804607,21.62623939,No
7.886468715,5.325241344,4.754853065,4.665128506,9.024480003,10.29244638,10.49804607,21.29598304,No
7.886468715,5.325241344,4.754853065,4.665128506,9.024480003,10.29244638,10.49804607,13.80191253,Yes
7.886468715,5.325241344,4.754853065,4.665128506,9.024480003,10.29244638,10.49804607,18.16011476,No
7.886468715,5.325241344,4.754853065,4.665128506,9.024480003,10.29244638,10.49804607,14.0682737,Yes
7.886616601,5.325244319,4.754785943,4.665038842,9.02416188,10.28986764,10.49816301,13.33797588,Yes
7.886616601,5.325244319,4.754785943,4.665038842,9.02416188,10.28986764,10.49816301,15.18998271,No
7.886616601,5.325244319,4.754785943,4.665038842,9.02416188,10.28986764,10.49816301,15.3028904,No
7.88661183,5.325244223,4.754788108,4.665041734,9.024164206,10.28986846,10.49824953,13.33755428,Yes
7.88807609,5.32524248,4.754827425,4.665094255,9.024206438,10.28988344,10.49826977,13.29765827,Yes
7.88807609,5.32524248,4.754827425,4.665094255,9.024206438,10.28988344,10.49826977,13.40717075,Yes
7.889309546,5.325241012,4.754860544,4.665138497,9.024242014,10.28989605,10.49828683,13.28431395,Yes
7.889229513,5.32670333,4.754897704,4.665188136,9.02428193,10.28991021,10.49830596,13.2738362,Yes
7.88926953,5.325972171,4.754879124,4.665163316,9.024261972,10.28990313,10.49829639,13.26922606,Yes
7.88926953,5.325972171,4.754879124,4.665163316,9.024261972,10.28990313,10.49829639,19.51374747,No
7.88926953,5.325972171,4.754879124,4.665163316,9.024261972,10.28990313,10.49829639,21.46780119,No
7.889187209,5.325931401,4.756462239,4.665214375,9.024303029,10.28991769,10.49831607,13.21946096,Yes
7.889187209,5.325931401,4.756462239,4.665214375,9.024303029,10.28991769,10.49831607,13.40417436,Yes
7.89258786,5.325912741,4.754529149,4.662914902,9.024812044,10.29264598,10.50126268,13.12214975,Yes
7.894673726,5.325901295,4.753343445,4.661504468,9.02512426,10.29431945,10.50307005,13.11864989,Yes
7.894673726,5.325901295,4.753343445,4.661504468,9.02512426,10.29431945,10.50307005,13.79347785,Yes
7.894673726,5.325901295,4.753343445,4.661504468,9.02512426,10.29431945,10.50307005,13.54534254,Yes
7.894522779,5.325902123,4.75342925,4.660892804,9.025101666,10.29419834,10.50293926,13.11105593,Yes
7.894522779,5.325902123,4.75342925,4.660892804,9.025101666,10.29419834,10.50293926,34.37843977,No
7.894522779,5.325902123,4.75342925,4.660892804,9.025101666,10.29419834,10.50293926,29.2459188,No
7.893957922,5.325905223,4.753750341,4.661377194,9.02224383,10.29374517,10.50244982,13.01362005,Yes
7.893957922,5.325905223,4.753750341,4.661377194,9.02224383,10.29374517,10.50244982,20.66020436,No
7.893957922,5.325905223,4.753750341,4.661377194,9.02224383,10.29374517,10.50244982,17.98820629,No
7.893783288,5.325906181,4.753849612,4.661526951,9.022352183,10.29261316,10.5022985,12.93976695,Yes
7.893783288,5.325906181,4.753849612,4.661526951,9.022352183,10.29261316,10.5022985,13.50840342,Yes
7.893783288,5.325906181,4.753849612,4.661526951,9.022352183,10.29261316,10.5022985,13.20938426,Yes
7.893716515,5.325906548,4.753887568,4.661584211,9.022393612,10.29260592,10.50181506,12.91585844,Yes
7.893716515,5.325906548,4.753887568,4.661584211,9.022393612,10.29260592,10.50181506,19.32043166,No
7.893716515,5.325906548,4.753887568,4.661584211,9.022393612,10.29260592,10.50181506,14.20535433,Yes
7.893716515,5.325906548,4.753887568,4.661584211,9.022393612,10.29260592,10.50181506,13.31022104,Yes
7.895088416,5.325905631,4.753792594,4.661440936,9.022289949,10.29262404,10.50181989,12.86253047,Yes
7.895088416,5.325905631,4.753792594,4.661440936,9.022289949,10.29262404,10.50181989,37.87668763,No
7.895088416,5.325905631,4.753792594,4.661440936,9.022289949,10.29262404,10.50181989,19.8897753,No
7.895277323,5.327260451,4.753685654,4.661279608,9.022173223,10.29264446,10.50182532,12.83877316,Yes
7.899262845,5.328130215,4.751868587,4.658704598,9.020779425,10.29442892,10.50412187,12.79932485,Yes
7.899262845,5.328130215,4.751868587,4.658704598,9.020779425,10.29442892,10.50412187,13.05310254,Yes
7.898169107,5.327891528,4.752367241,4.659411252,9.021161922,10.29393921,10.50349163,12.79433931,Yes
7.898311405,5.327922582,4.753028879,4.659319315,9.021112158,10.29400293,10.50357363,12.79258762,Yes
7.898311405,5.327922582,4.753028879,4.659319315,9.021112158,10.29400293,10.50357363,12.81195677,Yes
7.898255967,5.327910483,4.752771109,4.659355133,9.021131546,10.2939781,10.50354168,12.7912341,Yes
7.89842691,5.327947788,4.752799652,4.660010974,9.021071764,10.29405464,10.50364018,12.77481076,Yes
7.89842691,5.327947788,4.752799652,4.660010974,9.021071764,10.29405464,10.50364018,12.82144918,Yes
7.898545,5.327973559,4.752819369,4.660464035,9.021030467,10.29410752,10.50370823,12.7739564,Yes
